filename,speaker,task,clarity,ND,word,vowel,appendix,appendix_start,appendix_end,appendix_dur,freq_f1,amp_f1,width_f1,freq_f2,amp_f2,width_f2,freq_f3,amp_f3,width_f3,freq_h1,amp_h1,freq_h2,amp_h2,amp_h3,amp_p0,freq_p0,p0_id,p0prominence,a1p0_h1,a1p0_h2,a1p0_h3,a1p0,a1p0_compensated,freq_p1,amp_p1,a1p1,a1p1_compensated,a3p0,vwl_amp_rms,vwl_duration,timepoint,point_time,point_vwlpct,attempted_fix,status,errorflag,freq_a1,f0_pitch
AnnaL_lecture,AnnaL,lecture,normal,lo,servante,ɑ̃,n,15.78923889,15.80866635,0.019,720,37.58,250,1574,15.49,539,3633,3.93,112,215,49.12,409,31.82,37.58,49.12,215,H1,17.3,-11.54,5.76,-0.00084,-11.54,-9.4345,861,29.52,8.06,11.21454,-45.1935,0.0664117405,121,1,15.679013,8.28,None,Auto,None,624,208
AnnaL_lecture,AnnaL,lecture,normal,lo,diamant,ɑ̃,n,41.6116787,41.65347717,0.042,667,41.21,191,2467,1.41,1406,3710,13.28,120,194,51.79,409,38.49,41.21,51.79,194,H1,13.3,-10.58,2.72,0.00258,-10.58,-8.48892,1012,20.76,20.45,22.35025,-38.50655,0.0879409576,137,1,41.484823,7.32,None,Auto,None,624,205
AnnaL_lecture,AnnaL,lecture,normal,lo,refrain,ɛ̃,n,48.81005603,48.82830606,0.018,789,36.64,558,1095,37.01,174,3411,6.93,368,194,52,388,34.31,30.6,52,194,H1,17.7,-15.36,2.33,6.03509,-15.36,-13.28534,991,37.01,-0.37,5.01182,-45.06548,0.0774031311,160,1,48.66049,6.26,None,Auto,None,797,199
AnnaL_lecture,AnnaL,lecture,normal,hi,coton,ɔ̃,n,52.23012341,52.27545415,0.045,257,52.45,143,1519,6.65,2187,2618,1.29,1012,215,52.45,409,35.98,27.14,52.45,215,H1,16.47,0,16.47,25.30698,0,2.79992,861,12.72,39.73,40.8824,-51.16449,0.0687509905,131,1,52.109229,7.66,None,Auto,None,215,211
AnnaL_lecture,AnnaL,lecture,normal,hi,savon,ɔ̃,n,76.98687728,77.01631283,0.029,256,51,300,1017,20.75,1410,2327,8.57,533,194,51,388,37.61,28,51,194,H1,13.39,0,13.39,23.00016,0,2.15175,969,20.75,30.25,31.37635,-42.43334,0.0791628235,167,1,76.829349,5.97,None,Auto,None,194,198
AnnaL_lecture,AnnaL,lecture,normal,hi,divan,ɑ̃,n,88.28401148,88.32404382,0.04,583,44.9,304,1220,30.74,486,3370,9.47,401,215,52.08,431,44.9,40.91,52.08,215,H1,7.18,-7.18,0,3.98547,-7.18,-5.02929,1034,30.74,14.16,16.85943,-42.60548,0.0850725314,140,1,88.15444,7.16,None,Auto,None,431,211
AnnaL_lecture,AnnaL,lecture,normal,hi,bouquin,ɛ̃,n,91.88361904,91.94366755,0.06,426,55.77,217,2078,26.11,319,3281,23.23,367,237,55.77,495,47.65,35.96,55.77,237,H1,8.12,0,8.12,19.81209,0,2.33306,947,27.85,27.92,29.43909,-32.54088,0.0842358959,163,1,91.730806,6.15,None,Auto,None,237,240
AnnaL_lecture,AnnaL,lecture,normal,lo,citron,ɔ̃,n,104.455906,104.4700351,0.014,299,52.11,151,1180,20.96,779,3063,-3.73,703,215,52.11,431,41.08,26.94,52.11,215,H1,11.03,0,11.03,25.17272,0,2.64253,883,16.92,35.19,36.8284,-55.84401,0.0632965733,176,1,104.289277,5.68,None,Auto,None,215,219
AnnaL_lecture,AnnaL,lecture,normal,hi,entente,ɑ̃,n,110.3385902,110.3874532,0.049,437,47.07,205,990,34.88,219,3285,15.86,131,215,50.52,409,47.07,42.43,50.52,215,H1,3.45,-3.45,0,4.63945,-3.45,-1.15405,1012,32.78,14.29,18.9573,-34.6619,0.0788115653,135,1,110.213735,7.41,None,Auto,None,409,205
AnnaL_lecture,AnnaL,lecture,normal,hi,poussin,ɛ̃,n,148.3004009,148.3280704,0.028,377,53.59,2450,502,43.33,558,1464,32.76,261,237,53.59,452,43.33,41.03,53.59,237,H1,10.25,0,10.26,12.56399,0,2.0575,926,33.22,20.37,21.50166,-20.82649,0.0617644171,148,1,148.161896,6.75,None,Auto,None,237,231
AnnaL_lecture,AnnaL,lecture,normal,lo,voisin,ɛ̃,c,192.0456587,192.0709732,0.025,557,45.98,426,1354,33.17,213,3472,9.25,574,215,55.45,431,45.98,41.69,55.45,215,H1,9.47,-9.47,0,4.29131,-9.47,-7.34236,883,35.66,10.32,12.65236,-46.20328,0.1354484404,149,1,191.906604,6.7,None,Auto,None,431,219
AnnaL_lecture,AnnaL,lecture,normal,lo,plafond,ɔ̃,none,0,0,0,353,52.16,225,1221,20.46,912,1868,8.43,1940,237,52.16,452,43.35,33.55,52.16,237,H1,8.81,0,8.81,18.61098,0,2.44071,904,26.48,25.68,27.28081,-43.73423,0.1044446738,95,1,246.511725,10.47,None,Auto,None,237,227
AnnaL_lecture,AnnaL,lecture,normal,hi,montant,ɑ̃,c,277.2132641,277.2415222,0.028,587,50.9,184,1227,38.42,80,3243,16.35,151,215,53.4,431,50.9,45.05,53.4,215,H1,2.5,-2.5,0,5.85233,-2.5,-0.32722,861,38.86,12.04,14.84296,-37.04502,0.1165648501,170,1,277.053186,5.88,None,Auto,None,431,219
AnnaL_lecture,AnnaL,lecture,normal,hi,machin,ɛ̃,none,0,0,0,623,43.15,450,1381,31.62,301,3388,22.05,77,215,54.48,431,43.15,42.22,54.48,215,H1,11.33,-11.33,0,0.9336,-11.33,-9.22067,883,38.38,4.77,7.24178,-32.43057,0.1159324731,161,1,296.16758,6.22,None,Auto,None,431,220
AnnaL_lecture,AnnaL,lecture,normal,hi,bouchon,ɔ̃,none,0,0,0,540,43.06,399,1477,14.61,935,3464,5.13,686,215,52.61,452,43.06,38.76,52.61,215,H1,9.55,-9.55,0,4.2983,-9.55,-7.42119,904,27.77,15.29,17.17595,-47.47932,0.0877373378,107,1,307.143187,9.34,None,Auto,None,452,224
