clarity,timepoint,freq_f1,amp_f1,width_f1,freq_f2,amp_f2,width_f2,freq_f3,amp_f3,width_f3,amp_p0,freq_p0,p0prominence,a1p0,a3p0,vwl_amp_rms,vwl_duration,appendix_dur,Label
normal,3,219,49.44,690,711,39.28,224,2307,5.44,637,49.44,215,15.3,0,-43.99926,0.066411741,121,0.019,1
normal,3,754,39.85,173,1030,32.51,2008,3697,12.29,110,50.15,194,15.26,-10.3,-37.86044,0.087940958,137,0.042,1
normal,3,831,37.37,251,1121,31.74,674,3437,9.88,415,49.59,194,16.62,-12.22,-39.71464,0.077403131,160,0.018,1
normal,3,238,52.55,65,1430,9.65,1098,2231,11.14,317,52.55,215,16.63,0,-41.41178,0.068750991,131,0.045,1
normal,3,251,51.81,132,1228,14.95,717,2554,-0.56,1878,51.81,194,13.9,0,-52.37452,0.079162824,167,0.029,1
normal,3,776,41.62,77,1712,9.61,1040,3781,10.43,63,49.09,194,15.04,-7.47,-38.65915,0.085072531,140,0.04,1
normal,3,254,52.86,667,1154,31.45,351,2102,15.26,1819,52.86,215,17.69,0,-37.59729,0.084235896,163,0.06,1
normal,3,260,51.58,128,1278,18.07,835,2305,6.51,1170,51.58,215,15.42,0,-45.06893,0.063296573,176,0.014,1
normal,3,757,42.98,213,1056,28.39,1542,3389,1.54,906,51.13,194,13.7,-8.15,-49.58501,0.078811565,135,0.049,1
normal,3,833,36.37,414,1612,24.51,556,3693,12.76,252,51.25,215,15.51,-14.88,-38.48642,0.061764417,148,0.028,1
normal,3,364,52.75,582,914,37.45,592,2498,2.75,1309,52.75,215,15.16,0,-49.99605,0.13544844,149,0.025,1
normal,3,264,52.64,155,1174,19.24,626,2306,7.39,959,52.64,215,15.38,0,-45.25129,0.104444674,95,0,1
normal,3,288,51.98,464,824,41.8,100,2121,6.39,755,51.98,215,16,0,-45.58576,0.11656485,170,0.028,1
normal,3,776,42.49,152,1303,35.87,110,3503,23.33,69,52.56,215,13.23,-10.07,-29.23029,0.115932473,161,0,1
