vowelSAMPA,F1_Hz,F2_Hz,F3_Hz,target
ɑ̃,720,1574,3633,1
ɑ̃,705,1875,3733,1
ɑ̃,219,711,2307,1
ɑ̃,251,1393,2099,1
ɑ̃,240,1294,2088,1
ɑ̃,667,2467,3710,1
ɑ̃,707,1252,3721,1
ɑ̃,754,1030,3697,1
ɑ̃,716,1557,3691,1
ɑ̃,697,1708,3752,1
ɛ̃,789,1095,3411,1
ɛ̃,998,1109,3621,1
ɛ̃,831,1121,3437,1
ɛ̃,915,1249,3700,1
ɛ̃,254,1047,2052,1
ɔ̃,257,1519,2618,1
ɔ̃,240,1540,2188,1
ɔ̃,238,1430,2231,1
ɔ̃,243,1403,2296,1
ɔ̃,244,1408,2283,1
ɔ̃,256,1017,2327,1
ɔ̃,270,976,2366,1
ɔ̃,251,1228,2554,1
ɔ̃,237,1429,2330,1
ɔ̃,238,1472,2412,1
ɑ̃,583,1220,3370,1
ɑ̃,725,1260,3709,1
ɑ̃,776,1712,3781,1
ɑ̃,428,1247,2688,1
ɑ̃,230,811,1945,1
ɛ̃,426,2078,3281,1
ɛ̃,682,1484,3209,1
ɛ̃,254,1154,2102,1
ɛ̃,238,1122,2197,1
ɛ̃,274,1160,2003,1
ɔ̃,299,1180,3063,1
ɔ̃,267,1168,2363,1
ɔ̃,260,1278,2305,1
ɔ̃,383,1466,2933,1
ɔ̃,495,1516,3210,1
ɑ̃,437,990,3285,1
ɑ̃,606,883,3613,1
ɑ̃,757,1056,3389,1
ɑ̃,699,1149,2095,1
ɑ̃,662,1353,2412,1
ɛ̃,377,502,1464,1
ɛ̃,819,1488,3920,1
ɛ̃,833,1612,3693,1
ɛ̃,208,1050,1913,1
ɛ̃,391,1248,2402,1
ɛ̃,557,1354,3472,1
ɛ̃,692,1238,3503,1
ɛ̃,364,914,2498,1
ɛ̃,850,1262,3840,1
ɛ̃,277,1118,1927,1
ɔ̃,353,1221,1868,1
ɔ̃,287,1178,2280,1
ɔ̃,264,1174,2306,1
ɔ̃,275,1293,2511,1
ɔ̃,357,1594,3385,1
ɑ̃,587,1227,3243,1
ɑ̃,764,1078,3603,1
ɑ̃,288,824,2121,1
ɑ̃,251,723,2105,1
ɑ̃,661,1573,2315,1
ɛ̃,623,1381,3388,1
ɛ̃,774,1355,3459,1
ɛ̃,776,1303,3503,1
ɛ̃,874,1456,3580,1
ɛ̃,769,1365,3503,1
ɔ̃,540,1477,3464,1
ɔ̃,314,1148,2161,1
ɔ̃,296,1132,2264,1
ɔ̃,292,1135,2161,1
ɔ̃,317,850,2273,1
ɑ̃,545,1283,3316,1
ɑ̃,781,1051,3490,1
ɑ̃,819,1134,3550,1
ɑ̃,411,1099,2364,1
ɑ̃,797,1695,3583,1
ɔ̃,344,1267,2220,1
ɔ̃,331,1279,1960,1
ɔ̃,316,1179,2098,1
ɔ̃,300,1256,2518,1
ɔ̃,301,1441,2317,1
ɔ̃,334,1223,1655,1
ɔ̃,291,1410,1898,1
ɔ̃,273,1161,2110,1
ɔ̃,271,1206,2164,1
ɔ̃,264,1481,2602,1
ɛ̃,265,2703,3507,1
ɛ̃,425,2319,3155,1
ɛ̃,679,1676,3206,1
ɛ̃,833,1411,3424,1
ɛ̃,931,1412,3499,1
ɛ̃,694,1302,3331,1
ɛ̃,794,1301,3440,1
ɛ̃,226,1091,2224,1
ɛ̃,214,1178,2106,1
ɛ̃,900,1381,3742,1
ɑ̃,439,1345,3272,1
ɑ̃,695,1203,3527,1
ɑ̃,468,1091,2615,1
ɑ̃,550,815,2585,1
ɑ̃,527,1329,2403,1
ɛ̃,638,1491,3299,1
ɛ̃,780,1394,3607,1
ɛ̃,713,1213,3708,1
ɛ̃,830,1212,3969,1
ɛ̃,993,1655,3587,1
ɔ̃,360,1061,1949,1
ɔ̃,506,1335,2907,1
ɔ̃,269,1170,2386,1
ɔ̃,255,1276,2266,1
ɔ̃,254,1255,2237,1
ɛ̃,504,1454,3294,1
ɛ̃,744,1309,3575,1
ɛ̃,248,1191,2610,1
ɛ̃,241,997,2075,1
ɛ̃,234,1099,2351,1
ɛ̃,369,1290,3273,1
ɛ̃,641,1281,3333,1
ɛ̃,840,1311,3471,1
ɛ̃,253,911,2138,1
ɛ̃,222,983,2058,1
ɛ̃,714,1337,3366,1
ɛ̃,752,1282,3480,1
ɛ̃,689,1878,3780,1
ɛ̃,767,1193,3471,1
ɛ̃,800,1510,3477,1
ɔ̃,288,909,2230,1
ɔ̃,273,1089,2266,1
ɔ̃,251,1150,2283,1
ɔ̃,230,1520,2145,1
ɔ̃,220,1447,2299,1
ɑ̃,445,959,3575,1
ɑ̃,458,932,3446,1
ɑ̃,273,808,2222,1
ɑ̃,289,870,2300,1
ɑ̃,281,1041,2290,1
ɔ̃,314,1144,2898,1
ɔ̃,304,1126,2344,1
ɔ̃,292,1085,2321,1
ɔ̃,291,1339,3403,1
ɔ̃,301,1119,2560,1
ɑ̃,366,831,2551,1
ɑ̃,350,825,2582,1
ɑ̃,322,821,2437,1
ɑ̃,256,868,2252,1
ɑ̃,271,857,2195,1
ɑ̃,481,1340,3270,1
ɑ̃,730,1142,3379,1
ɑ̃,315,1072,2240,1
ɑ̃,361,1142,2517,1
ɑ̃,678,1392,3348,1
ɛ̃,712,1269,3544,1
ɛ̃,886,1587,3589,1
ɛ̃,184,934,1921,1
ɛ̃,874,1410,3689,1
ɛ̃,773,1408,3644,1
ɑ̃,406,1160,2981,1
ɑ̃,425,1022,3109,1
ɑ̃,404,838,1851,1
ɑ̃,363,825,1717,1
ɑ̃,814,1975,3659,1
ɔ̃,352,1172,1530,1
ɔ̃,313,1300,1986,1
ɔ̃,270,1192,2480,1
ɔ̃,287,1230,2349,1
ɔ̃,298,1237,2254,1
ɔ̃,356,986,2173,1
ɔ̃,341,889,2279,1
ɔ̃,272,1123,2369,1
ɔ̃,322,1256,2064,1
ɔ̃,869,1944,3385,1
ɑ̃,455,1056,3258,1
ɑ̃,832,868,3787,1
ɑ̃,268,790,1579,1
ɑ̃,365,1087,1323,1
ɑ̃,738,1348,3652,1
ɑ̃,730,1145,3616,1
ɑ̃,246,895,1826,1
ɑ̃,668,1384,2373,1
ɑ̃,484,1306,2399,1
ɑ̃,218,1351,2274,1
ɑ̃,378,695,2117,1
ɑ̃,696,2052,3769,1
ɑ̃,563,1178,2893,1
ɑ̃,680,1893,3749,1
ɑ̃,276,810,2132,1
ɛ̃,789,1222,3388,1
ɛ̃,346,1058,3421,1
ɛ̃,617,1075,3450,1
ɛ̃,742,1125,2122,1
ɛ̃,211,1039,1781,1
ɔ̃,316,1000,1925,1
ɔ̃,311,1413,2827,1
ɔ̃,260,1119,2563,1
ɔ̃,242,1061,2521,1
ɔ̃,237,1407,2307,1
ɔ̃,355,1492,1652,1
ɔ̃,272,1356,1993,1
ɔ̃,267,1287,2698,1
ɔ̃,257,1223,2402,1
ɔ̃,272,1268,2327,1
ɑ̃,405,1198,3412,1
ɑ̃,578,943,2184,1
ɑ̃,747,1610,3604,1
ɑ̃,439,786,2114,1
ɑ̃,304,838,1833,1
ɛ̃,625,2093,3192,1
ɛ̃,785,1651,3363,1
ɛ̃,785,1477,3333,1
ɛ̃,208,1117,2071,1
ɛ̃,241,1028,2140,1
ɔ̃,288,1119,1868,1
ɔ̃,294,1442,1856,1
ɔ̃,259,1250,2259,1
ɔ̃,245,1457,2158,1
ɔ̃,269,1362,2177,1
ɑ̃,610,1116,3343,1
ɑ̃,263,827,2035,1
ɑ̃,367,790,2491,1
ɑ̃,247,1147,2299,1
ɑ̃,238,1201,2001,1
ɛ̃,688,1472,3374,1
ɛ̃,347,805,1522,1
ɛ̃,817,1261,3596,1
ɛ̃,333,960,1649,1
ɛ̃,299,1041,2053,1
ɛ̃,620,1450,3417,1
ɛ̃,696,1421,3469,1
ɛ̃,713,1353,3665,1
ɛ̃,332,1191,1659,1
ɛ̃,676,1368,3815,1
ɔ̃,299,1315,2377,1
ɔ̃,287,1331,2265,1
ɔ̃,264,1342,2207,1
ɔ̃,253,1403,2243,1
ɔ̃,257,1363,2078,1
ɑ̃,569,1210,3354,1
ɑ̃,531,847,2459,1
ɑ̃,327,828,2069,1
ɑ̃,230,690,2412,1
ɑ̃,700,1335,3719,1
ɛ̃,632,1458,3519,1
ɛ̃,705,1422,3490,1
ɛ̃,267,1177,2032,1
ɛ̃,235,1142,2063,1
ɛ̃,243,993,2242,1
ɔ̃,331,895,2096,1
ɔ̃,296,1194,1916,1
ɔ̃,273,1148,2077,1
ɔ̃,273,1221,2061,1
ɔ̃,259,1374,2408,1
ɑ̃,575,1297,3294,1
ɑ̃,724,1096,3434,1
ɑ̃,653,839,3598,1
ɑ̃,696,1316,3711,1
ɑ̃,204,698,1642,1
ɔ̃,311,1057,2330,1
ɔ̃,258,1164,2539,1
ɔ̃,234,1198,2144,1
ɔ̃,267,1177,2518,1
ɔ̃,260,1155,2368,1
ɔ̃,331,1138,2025,1
ɔ̃,283,1391,2343,1
ɔ̃,282,1233,3492,1
ɔ̃,263,1069,2621,1
ɔ̃,244,1613,2258,1
ɛ̃,373,2543,3350,1
ɛ̃,548,2140,3022,1
ɛ̃,730,1461,3379,1
ɛ̃,550,1220,2009,1
ɛ̃,379,1100,1991,1
ɛ̃,520,1368,3278,1
ɛ̃,675,1268,3448,1
ɛ̃,677,1193,3284,1
ɛ̃,387,974,1769,1
ɛ̃,268,1003,2254,1
ɑ̃,430,981,3158,1
ɑ̃,478,837,3339,1
ɑ̃,392,698,2309,1
ɑ̃,628,1526,3982,1
ɑ̃,317,706,2261,1
ɛ̃,637,1575,3263,1
ɛ̃,703,1449,3402,1
ɛ̃,716,1361,3695,1
ɛ̃,733,1227,3621,1
ɛ̃,888,1504,3612,1
ɔ̃,411,978,1840,1
ɔ̃,367,684,1966,1
ɔ̃,324,1240,1487,1
ɔ̃,303,1453,3820,1
ɔ̃,258,1234,2476,1
ɛ̃,499,1503,3268,1
ɛ̃,640,1392,3298,1
ɛ̃,692,1227,3569,1
ɛ̃,375,970,1816,1
ɛ̃,294,1040,2121,1
ɛ̃,507,1404,3397,1
ɛ̃,661,1351,3388,1
ɛ̃,716,1288,3241,1
ɛ̃,762,1276,3569,1
ɛ̃,758,961,2320,1
ɛ̃,610,1453,3228,1
ɛ̃,682,1495,3543,1
ɛ̃,846,1673,3519,1
ɛ̃,857,1491,3705,1
ɛ̃,285,969,2031,1
ɔ̃,325,995,2381,1
ɔ̃,316,1172,2143,1
ɔ̃,280,1161,2279,1
ɔ̃,279,1416,2056,1
ɔ̃,282,1040,2276,1
ɑ̃,534,849,3366,1
ɑ̃,423,801,2303,1
ɑ̃,361,807,2263,1
ɑ̃,318,751,2089,1
ɑ̃,310,762,2174,1
ɔ̃,332,689,2285,1
ɔ̃,361,904,1865,1
ɔ̃,359,694,2039,1
ɔ̃,303,1041,2020,1
ɔ̃,292,1068,2188,1
ɑ̃,422,989,3257,1
ɑ̃,535,819,1505,1
ɑ̃,379,822,1782,1
ɑ̃,278,784,2289,1
ɑ̃,251,938,2365,1
