vowelSAMPA,F0,F1_Hz,F2_Hz,F3_Hz,target
a,231.3333333,779.3333333,1591.333333,3073,0
y,223.3333333,406,1944.666667,2804.666667,0
3,216,629.6666667,1948,3067.333333,0
o,210.3333333,392.6666667,839.3333333,3222,0
u,230,315.3333333,1432.333333,3080.333333,0
9,220,511.6666667,1744.333333,2929,0
2,215,413,1691.666667,2621.333333,0
9,217.6666667,624,1648.333333,2936.666667,0
e,215,413.6666667,2493.666667,3128.333333,0
O~,222.3333333,302.3333333,1049.666667,2254.666667,1
i,193.3333333,324.6666667,2328.666667,3503.666667,0
E~,227,697.6666667,2061.333333,2917.333333,1
3,100.3333333,559.3333333,2074.333333,3058.333333,0
3,224,473.3333333,2207.666667,3081.333333,0
o,215,415,715,3023.666667,0
y,203,337,2081,2681.333333,0
3,221.6666667,659,1937.333333,3295,0
9,230.3333333,580,1737,2760.333333,0
i,213.6666667,322,2251.333333,3525,0
O~,223,243,1419.333333,2347.666667,1
u,238,362,650.6666667,2228.666667,0
a~,180.3333333,309.6666667,842,2453.666667,1
i,235.3333333,284,2246.666667,3391.666667,0
y,226.3333333,320.6666667,1778.333333,2241.666667,0
a~,206,775.6666667,1415.333333,3734,1
2,209.6666667,373.6666667,1660,2291,0
a,209,679.6666667,1619,2854.666667,0
u,224.6666667,273.3333333,845.3333333,2364,0
2,210.3333333,390,1543.666667,2083,0
a~,207,669.3333333,1063.666667,3077.333333,1
u,230,312.3333333,1230,2748.666667,0
a~,214.3333333,721.3333333,1464,3364.333333,1
a,218,758.6666667,1670.666667,3057.666667,0
a,205.6666667,826.3333333,1673,3101.666667,0
e,219.3333333,418,2453.666667,3179.666667,0
2,218,345,1778,2846,0
2,200,387,2018,2820.333333,0
9,203,598.6666667,1498.666667,3030,0
E~,220,809,1372,3528.333333,1
O~,222,289.6666667,1259,2376.666667,1
3,198,612,1958.333333,3102,0
i,224.3333333,325,2298.333333,3542,0
O~,215.6666667,296,1184,2678,1
9,208,570.6666667,1655.666667,3064.666667,0
a~,214.6666667,593,1314.333333,3270.666667,1
o,215.6666667,401.6666667,880,2669.333333,0
a,206.3333333,770.6666667,1532.333333,2883.333333,0
2,212,374.6666667,1719.666667,2908.666667,0
3,202,573,1966.666667,3086,0
E~,214.3333333,884.3333333,1554,3653.333333,1
i,220.6666667,380,2036.666667,3488.333333,0
e,210,407,2476,3126,0
E~,209.6666667,406.6666667,1165.333333,2736.666667,1
e,208.6666667,406.6666667,2385.666667,3128,0
o,218.6666667,420.3333333,1016.666667,2903,0
e,220.3333333,427,2499.666667,3306.666667,0
E~,218.6666667,867.3333333,1705.333333,3702,1
e,207.3333333,392.6666667,2501.666667,3277.333333,0
o,204,376.6666667,865.6666667,2248.333333,0
i,222,301,2211.333333,3319,0
u,223,397.6666667,458.6666667,2703.666667,0
y,211.6666667,370,1729.333333,3015.333333,0
y,212,362.3333333,1532.666667,2384.666667,0
E~,197.3333333,564.3333333,1228.666667,3079.333333,1
a~,219.3333333,495.6666667,891,2236,1
O~,206.3333333,249.3333333,1276,2308,1
u,247.6666667,374.3333333,1006,2732.333333,0
O~,213.3333333,354.3333333,1400.666667,2689,1
y,217.6666667,302.6666667,1944.333333,2407,0
o,216,398.3333333,782.3333333,2954.666667,0
a,205.3333333,726.3333333,1607.666667,3062,0
i,223,319.6666667,2125.666667,3371,0
i,230,417,2173.333333,3446.333333,0
u,245.6666667,327.3333333,953.6666667,2876.333333,0
E~,211.6666667,703.3333333,1618,3352.333333,1
y,221,419.3333333,1342.333333,2528.333333,0
O~,215.3333333,251.3333333,1246.666667,2263.666667,1
i,224.3333333,362,2144,3494,0
3,207,545.3333333,2106.333333,3121.666667,0
O~,227.6666667,318,1261.333333,2165.666667,1
a~,205.6666667,477.6666667,978.6666667,2696.333333,1
y,233,310,1874,2717.333333,0
a,206.6666667,664,1704,3070,0
e,225.3333333,427.6666667,2447,3183.666667,0
a~,225.6666667,339.3333333,872.3333333,2655,1
O~,219.6666667,319.3333333,1396,2589.666667,1
e,216.6666667,427,2486,3192.333333,0
o,225,418.6666667,688,2660.666667,0
e,207.6666667,405,2385.333333,3077.333333,0
3,213.3333333,669.6666667,1990,3008,0
2,216,410,1733.333333,2798,0
e,216.3333333,410.3333333,2417.666667,3191,0
3,212.3333333,519,2116,3044.666667,0
a~,210,726.6666667,1485.666667,3727.333333,1
u,210.3333333,392.3333333,801,2993.333333,0
O~,234,312,1187,1984.333333,1
y,222.3333333,347.6666667,2279,3283,0
o,202.6666667,339.6666667,1137,2497.666667,0
E~,231.3333333,816.3333333,1378.666667,3646,1
e,222.3333333,432.6666667,2622.333333,3183.666667,0
3,208,586.6666667,2082,3138.333333,0
E~,212.6666667,401,1066.666667,2446.333333,1
2,222,415,1807,3190,0
9,218.3333333,656,1388,2970.333333,0
u,227,335.3333333,1054,2967,0
3,204,561.6666667,2279,3057.666667,0
o,204.3333333,388.6666667,862.6666667,2734.666667,0
y,215.6666667,337.3333333,2114.333333,2300.666667,0
y,223.3333333,273.6666667,2057.666667,2806.666667,0
3,219.3333333,553,1821,3087,0
2,218.3333333,405.6666667,1807.666667,2949.666667,0
o,221.6666667,374,892.3333333,2996,0
9,213.6666667,580.6666667,1733,2992,0
9,216,709.3333333,1636,3026.666667,0
o,219.6666667,422.6666667,792.6666667,3008,0
2,219.3333333,428,1667.666667,2741.666667,0
i,216,385.6666667,1953.666667,3499.666667,0
2,218.3333333,410.6666667,1624.333333,2900.666667,0
a,201.6666667,727.3333333,1586,3082.666667,0
9,206.3333333,570,1611,2978,0
a,211.6666667,688,1503,3053.333333,0
a,205.6666667,838.3333333,1669.666667,3005,0
O~,220.3333333,294.6666667,1372.666667,2776.333333,1
E~,206.6666667,922.6666667,1294.666667,3657.666667,1
u,223.6666667,379.6666667,1046.333333,2762.666667,0
9,212.6666667,471,1717.333333,2865,0
a~,209.3333333,556,1268.666667,2883.666667,1
2,211.3333333,395.6666667,1608.666667,2783.333333,0
o,200,359.3333333,1029.333333,2814.333333,0
9,196.6666667,575.6666667,1702,2846.666667,0
a~,219,396.3333333,1293.666667,2736,1
u,226.3333333,373,760.6666667,2349.666667,0
O~,224,276.6666667,1316,2072,1
a~,212.3333333,796,1348.666667,3520.666667,1
y,232,288.3333333,1565.666667,1908.666667,0
u,214.3333333,385.3333333,815.6666667,2663.666667,0
a,216.6666667,705,1700.333333,2993,0
e,223.6666667,422,2415.333333,3114,0
E~,218.6666667,721.3333333,1198.666667,3481,1
i,223,294,1461,2933.666667,0
a,203.6666667,550.6666667,1474,3081.666667,0
E~,219.3333333,629,1256,3193,1
i,216.3333333,290.3333333,2256.666667,3487.666667,0
a,197.3333333,752,1436.666667,3021.333333,0
y,214,394.3333333,2154,2704.333333,0
3,211.6666667,555.6666667,1501.666667,2536.666667,0
o,247.3333333,387,954.3333333,2980.666667,0
u,272.6666667,371.3333333,1540.333333,2795.333333,0
9,172,625,1640.333333,2774.666667,0
2,220.3333333,426,1636,2804,0
9,215.3333333,628.6666667,1657,2776,0
e,236.6666667,416.6666667,2475,3060.666667,0
O~,205.6666667,429.6666667,982,2792.333333,1
i,208.3333333,276,2491.333333,3582.666667,0
E~,220.3333333,464,1241.333333,2430.666667,1
3,236.6666667,387.6666667,2362.666667,3002.666667,0
3,197.6666667,370,2266,2984,0
o,223.6666667,394.3333333,808.3333333,2950,0
y,245.6666667,344,2018.333333,2676,0
3,217.6666667,696.6666667,2067.666667,2997.333333,0
9,227.3333333,651.3333333,1753,2859,0
i,194.3333333,308,2016,3320.333333,0
O~,207.3333333,356,1021,2940.333333,1
u,249,357,840,2825,0
a~,211.6666667,513.3333333,865.6666667,3063.666667,1
i,222.6666667,269.6666667,2264,3496.333333,0
y,217,257.6666667,2291,2740,0
a~,196,441.6666667,954,2904.666667,1
2,220.6666667,411.6666667,1619.666667,2734.666667,0
a,192.6666667,791.3333333,1606.666667,2770.333333,0
u,235.3333333,273.6666667,883.6666667,2507,0
2,156.3333333,366,1571,2564.666667,0
a~,235,532.3333333,961,2493.333333,1
u,256.3333333,278.3333333,809.6666667,2354.333333,0
a~,210,354,932.3333333,2574.333333,1
a,177.3333333,693,1518.666667,2389,0
a,202.6666667,743,1502.333333,3011,0
e,223.6666667,413.6666667,2450,2994,0
2,193.6666667,408.3333333,1662,2846,0
2,229.3333333,414,1587,2784.333333,0
9,193.6666667,677.3333333,1600.666667,2764.666667,0
E~,197.6666667,580.6666667,1198.333333,3119.666667,1
O~,201,375,1086.666667,3194.666667,1
3,235.6666667,417.6666667,2320.666667,2758.333333,0
i,215.6666667,270.6666667,2379.666667,3628.333333,0
O~,203.6666667,324.6666667,1114.333333,2858.333333,1
9,199.3333333,651.6666667,1601.666667,2863.666667,0
a~,223,489,902,2605.333333,1
o,208.3333333,379.3333333,972.3333333,2835.666667,0
a,187.3333333,778.6666667,1576.666667,2952.666667,0
2,234,396.3333333,1615.333333,2721,0
9,175.3333333,612.6666667,1664.333333,2767,0
3,195,646,1800.333333,2717.333333,0
E~,201,599.6666667,1258,2813,1
i,202.6666667,264.3333333,2445.666667,3582.666667,0
e,200.3333333,374.6666667,2434,3046.666667,0
E~,208,364,966.3333333,1986.666667,1
e,193.3333333,372,2443.333333,3055.666667,0
o,191.6666667,385.6666667,1018,2833.666667,0
e,200,377.6666667,1960,2717,0
E~,200.6666667,620.3333333,1169.666667,3216,1
e,218.6666667,449.6666667,2436.333333,3052.333333,0
o,210.6666667,354.3333333,968,2833.333333,0
i,222.6666667,301,2375.666667,3431.666667,0
u,239,339.3333333,893,2827.666667,0
y,237.6666667,275,2176,2637.666667,0
y,223,321,2105.666667,2619,0
E~,196,566.6666667,1169.666667,3069,1
a~,184,333.6666667,939,2985,1
O~,210.6666667,310.3333333,1055.666667,2801.666667,1
u,256.3333333,404.6666667,1111.333333,2887.666667,0
O~,201.3333333,359,875.3333333,2638,1
y,223.3333333,301.6666667,2237,2575.666667,0
o,246.3333333,407.6666667,870.3333333,2752.666667,0
a,162.6666667,771.3333333,1384,2855.333333,0
i,223,263,2235.666667,3386,0
i,204,360.6666667,2437.333333,3413,0
