vowel,freq_f1,amp_f1,freq_f2,amp_f2,freq_f3,amp_f3,freq_h1,amp_h1,freq_h2,amp_h2,amp_h3,amp_p0,freq_p0,
ɑ̃,720,37.58,1574,15.49,3633,3.93,215,49.12,409,31.82,37.58,49.12,215,1
ɑ̃,705,38.69,1875,9.64,3733,2.21,215,49.79,431,32.75,38.69,49.79,215,1
ɑ̃,219,49.44,711,39.28,2307,5.44,215,49.44,452,34.14,39.28,49.44,215,1
ɑ̃,251,49.32,1393,9.07,2099,2.13,237,49.32,452,33.06,13.36,49.32,237,1
ɑ̃,240,47.68,1294,10.26,2088,-5.25,237,47.68,452,26.92,2.32,47.68,237,1
ɑ̃,667,41.21,2467,1.41,3710,13.28,194,51.79,409,38.49,41.21,51.79,194,1
ɑ̃,707,40.54,1252,11.85,3721,11.96,194,51.55,409,37.49,40.54,51.55,194,1
ɑ̃,754,39.85,1030,32.51,3697,12.29,194,50.15,409,34.89,39.85,50.15,194,1
ɑ̃,716,39.37,1557,14.57,3691,13.24,215,48.62,431,30.74,39.37,48.62,215,1
ɑ̃,697,36.6,1708,7.91,3752,5.42,215,46.92,452,29.93,36.6,46.92,215,1
ɛ̃,789,36.64,1095,37.01,3411,6.93,194,52,388,34.31,30.6,52,194,1
ɛ̃,998,39.15,1109,38.1,3621,0.65,194,51.73,388,35.2,34.24,51.73,194,1
ɛ̃,831,37.37,1121,31.74,3437,9.88,194,49.59,409,32.97,31.68,49.59,194,1
ɛ̃,915,35.44,1249,29.86,3700,1.63,215,47.58,431,27.66,29.65,47.58,215,1
ɛ̃,254,44.13,1047,23.83,2052,-3.09,237,44.13,345,25.83,21.57,44.13,237,1
ɔ̃,257,52.45,1519,6.65,2618,1.29,215,52.45,409,35.98,27.14,52.45,215,1
ɔ̃,240,52.98,1540,12.81,2188,8.74,215,52.98,409,36.71,23.38,52.98,215,1
ɔ̃,238,52.55,1430,9.65,2231,11.14,215,52.55,431,35.91,21.24,52.55,215,1
ɔ̃,243,51.38,1403,11.55,2296,11.98,215,51.38,431,33.09,21.07,51.38,215,1
ɔ̃,244,49.26,1408,7.08,2283,5.92,237,49.26,452,29.41,18.33,49.26,237,1
ɔ̃,256,51,1017,20.75,2327,8.57,194,51,388,37.61,28,51,194,1
