clarity,timepoint,freq_f1,amp_f1,width_f1,freq_f2,amp_f2,width_f2,freq_f3,amp_f3,width_f3,amp_p0,freq_p0,p0prominence,a1p0,a3p0,vwl_amp_rms,vwl_duration,appendix,appendix_dur,nasal_app,creak_app,target
normal,1,720,37.58,250,1574,15.49,539,3633,3.93,112,49.12,215,17.3,-11.54,-45.1935,0.0664117405,0.121,n,0.019,1,0,1
normal,2,705,38.69,272,1875,9.64,524,3733,2.21,268,49.79,215,17.04,-11.1,-47.58146,0.0664117405,0.121,n,0.019,1,0,1
normal,3,219,49.44,690,711,39.28,224,2307,5.44,637,49.44,215,15.3,0,-43.99926,0.0664117405,0.121,n,0.019,1,0,1
normal,4,251,49.32,45,1393,9.07,829,2099,2.13,774,49.32,237,16.26,0,-47.18689,0.0664117405,0.121,n,0.019,1,0,1
normal,5,240,47.68,23,1294,10.26,436,2088,-5.25,952,47.68,237,20.76,0,-52.93052,0.0664117405,0.121,n,0.019,1,0,1
normal,1,667,41.21,191,2467,1.41,1406,3710,13.28,120,51.79,194,13.3,-10.58,-38.50655,0.0879409576,0.137,n,0.042,1,0,1
normal,2,707,40.54,184,1252,11.85,1631,3721,11.96,301,51.55,194,14.06,-11.01,-39.58973,0.0879409576,0.137,n,0.042,1,0,1
normal,3,754,39.85,173,1030,32.51,2008,3697,12.29,110,50.15,194,15.26,-10.3,-37.86044,0.0879409576,0.137,n,0.042,1,0,1
normal,4,716,39.37,156,1557,14.57,953,3691,13.24,98,48.62,215,17.88,-9.25,-35.37527,0.0879409576,0.137,n,0.042,1,0,1
normal,5,697,36.6,224,1708,7.91,1373,3752,5.42,122,46.92,215,16.99,-10.32,-41.49561,0.0879409576,0.137,n,0.042,1,0,1
normal,1,789,36.64,558,1095,37.01,174,3411,6.93,368,52,194,17.7,-15.36,-45.06548,0.0774031311,0.16,n,0.018,1,0,1
normal,2,998,39.15,206,1109,38.1,1444,3621,0.65,3559,51.73,194,16.53,-12.58,-51.08399,0.0774031311,0.16,n,0.018,1,0,1
normal,3,831,37.37,251,1121,31.74,674,3437,9.88,415,49.59,194,16.62,-12.22,-39.71464,0.0774031311,0.16,n,0.018,1,0,1
normal,4,915,35.44,228,1249,29.86,969,3700,1.63,395,47.58,215,19.92,-12.14,-45.95156,0.0774031311,0.16,n,0.018,1,0,1
normal,5,254,44.13,262,1047,23.83,169,2052,-3.09,882,44.13,237,22.54,0,-47.22404,0.0774031311,0.16,n,0.018,1,0,1
normal,1,257,52.45,143,1519,6.65,2187,2618,1.29,1012,52.45,215,16.47,0,-51.16449,0.0687509905,0.131,n,0.045,1,0,1
normal,2,240,52.98,77,1540,12.81,1056,2188,8.74,740,52.98,215,16.27,0,-44.23977,0.0687509905,0.131,n,0.045,1,0,1
normal,3,238,52.55,65,1430,9.65,1098,2231,11.14,317,52.55,215,16.63,0,-41.41178,0.0687509905,0.131,n,0.045,1,0,1
normal,4,243,51.38,79,1403,11.55,1049,2296,11.98,376,51.38,215,18.29,0,-39.40083,0.0687509905,0.131,n,0.045,1,0,1
normal,5,244,49.26,58,1408,7.08,952,2283,5.92,390,49.26,237,19.85,0,-43.34413,0.0687509905,0.131,n,0.045,1,0,1
normal,1,256,51,300,1017,20.75,1410,2327,8.57,533,51,194,13.39,0,-42.43334,0.0791628235,0.167,n,0.029,1,0,1
normal,2,270,52.82,194,976,21.97,605,2366,7.58,545,52.82,194,13.41,0,-45.24131,0.0791628235,0.167,n,0.029,1,0,1
normal,3,251,51.81,132,1228,14.95,717,2554,-0.56,1878,51.81,194,13.9,0,-52.37452,0.0791628235,0.167,n,0.029,1,0,1
normal,4,237,49.91,86,1429,12.79,515,2330,-3.32,2605,49.91,215,18.8,0,-53.22757,0.0791628235,0.167,n,0.029,1,0,1
normal,5,238,47.06,39,1472,8.02,452,2412,-5.64,1249,47.06,237,24.3,0,-52.69609,0.0791628235,0.167,n,0.029,1,0,1
normal,1,583,44.9,304,1220,30.74,486,3370,9.47,401,52.08,215,7.18,-7.18,-42.60548,0.0850725314,0.14,n,0.04,1,0,1
normal,2,725,46.3,136,1260,24.73,839,3709,13.23,961,50.91,215,10.39,-4.61,-37.68377,0.0850725314,0.14,n,0.04,1,0,1
normal,3,776,41.62,77,1712,9.61,1040,3781,10.43,63,49.09,194,15.04,-7.47,-38.65915,0.0850725314,0.14,n,0.04,1,0,1
normal,4,428,42.16,404,1247,14.68,412,2688,-11.62,347,47.63,215,19.02,-5.47,-59.25495,0.0850725314,0.14,n,0.04,1,0,1
normal,5,230,45.28,535,811,29.57,400,1945,-5.74,1901,45.28,215,19.65,0,-51.0155,0.0850725314,0.14,n,0.04,1,0,1
normal,1,426,55.77,217,2078,26.11,319,3281,23.23,367,55.77,237,8.12,0,-32.54088,0.0842358959,0.163,n,0.06,1,0,1
normal,2,682,43.57,342,1484,34,182,3209,24.89,112,54.14,215,11.55,-10.57,-29.24935,0.0842358959,0.163,n,0.06,1,0,1
normal,3,254,52.86,667,1154,31.45,351,2102,15.26,1819,52.86,215,17.69,0,-37.59729,0.0842358959,0.163,n,0.06,1,0,1
normal,4,238,49.52,558,1122,32.29,257,2197,6.04,1490,49.52,215,17.63,0,-43.47947,0.0842358959,0.163,n,0.06,1,0,1
normal,5,274,47.08,284,1160,29.23,122,2003,6.34,539,47.08,237,18.41,0,-40.74192,0.0842358959,0.163,n,0.06,1,0,1
normal,1,299,52.11,151,1180,20.96,779,3063,-3.73,703,52.11,215,11.03,0,-55.84401,0.0632965733,0.176,n,0.014,1,0,1
normal,2,267,52.69,129,1168,18.67,868,2363,4.03,1529,52.69,215,13.08,0,-48.66021,0.0632965733,0.176,n,0.014,1,0,1
normal,3,260,51.58,128,1278,18.07,835,2305,6.51,1170,51.58,215,15.42,0,-45.06893,0.0632965733,0.176,n,0.014,1,0,1
normal,4,383,47.92,374,1466,8.02,1039,2933,1.89,975,47.92,215,18.13,0,-46.0298,0.0632965733,0.176,n,0.014,1,0,1
normal,5,495,27.83,756,1516,13.31,831,3210,6.82,154,41.11,215,15.96,-13.28,-34.28817,0.0632965733,0.176,n,0.014,1,0,1
normal,1,437,47.07,205,990,34.88,219,3285,15.86,131,50.52,215,3.45,-3.45,-34.6619,0.0788115653,0.135,n,0.049,1,0,1
normal,2,606,46.01,532,883,41.47,320,3613,1.67,478,51.11,194,9.77,-5.1,-49.44484,0.0788115653,0.135,n,0.049,1,0,1
normal,3,757,42.98,213,1056,28.39,1542,3389,1.54,906,51.13,194,13.7,-8.15,-49.58501,0.0788115653,0.135,n,0.049,1,0,1
normal,4,699,42.63,247,1149,23.95,1561,2095,2.29,1108,50.93,215,15.39,-8.3,-48.64251,0.0788115653,0.135,n,0.049,1,0,1
normal,5,662,40.81,260,1353,14.81,1371,2412,1.11,690,50.17,215,14.21,-9.36,-49.05792,0.0788115653,0.135,n,0.049,1,0,1
normal,1,377,53.59,2450,502,43.33,558,1464,32.76,261,53.59,237,10.25,0,-20.82649,0.0617644171,0.148,n,0.028,1,0,1
normal,2,819,40.56,729,1488,32.95,446,3920,11.46,558,52.28,215,12.42,-11.72,-40.82054,0.0617644171,0.148,n,0.028,1,0,1
normal,3,833,36.37,414,1612,24.51,556,3693,12.76,252,51.25,215,15.51,-14.88,-38.48642,0.0617644171,0.148,n,0.028,1,0,1
normal,4,208,48.92,615,1050,29.47,411,1913,9.83,829,48.92,215,17.53,0,-39.09361,0.0617644171,0.148,n,0.028,1,0,1
normal,5,391,46.02,379,1248,19.69,581,2402,-0.45,639,46.02,237,19.58,0,-46.47209,0.0617644171,0.148,n,0.028,1,0,1
normal,1,557,45.98,426,1354,33.17,213,3472,9.25,574,55.45,215,9.47,-9.47,-46.20328,0.1354484404,0.149,c,0.025,0,1,1
normal,2,692,43.12,221,1238,31.28,208,3503,11.87,288,54.64,215,11.83,-11.52,-42.76676,0.1354484404,0.149,c,0.025,0,1,1
normal,3,364,52.75,582,914,37.45,592,2498,2.75,1309,52.75,215,15.16,0,-49.99605,0.1354484404,0.149,c,0.025,0,1,1
normal,4,850,36.66,465,1262,30.03,821,3840,6.79,318,49.72,215,15.09,-13.06,-42.92532,0.1354484404,0.149,c,0.025,0,1,1
normal,5,277,43.01,1251,1118,25.26,418,1927,5.46,959,43.01,215,16.13,0,-37.55286,0.1354484404,0.149,c,0.025,0,1,1
normal,1,353,52.16,225,1221,20.46,912,1868,8.43,1940,52.16,237,8.81,0,-43.73423,0.1044446738,0.095,none,0,0,0,1
normal,2,287,52.47,170,1178,22.98,493,2280,1.1,1962,52.47,215,12.35,0,-51.37411,0.1044446738,0.095,none,0,0,0,1
normal,3,264,52.64,155,1174,19.24,626,2306,7.39,959,52.64,215,15.38,0,-45.25129,0.1044446738,0.095,none,0,0,0,1
normal,4,275,52.33,222,1293,18.8,870,2511,3.48,1160,52.33,215,16.28,0,-48.84992,0.1044446738,0.095,none,0,0,0,1
normal,5,357,52.05,488,1594,14.81,924,3385,2.08,820,52.05,215,16.18,0,-49.97019,0.1044446738,0.095,none,0,0,0,1
normal,1,587,50.9,184,1227,38.42,80,3243,16.35,151,53.4,215,2.5,-2.5,-37.04502,0.1165648501,0.17,c,0.028,0,1,1
normal,2,764,48.11,200,1078,41.36,299,3603,9.31,1230,53.03,215,9.12,-4.92,-43.71972,0.1165648501,0.17,c,0.028,0,1,1
normal,3,288,51.98,464,824,41.8,100,2121,6.39,755,51.98,215,16,0,-45.58576,0.1165648501,0.17,c,0.028,0,1,1
normal,4,251,49.57,722,723,40.81,202,2105,4.71,874,49.57,215,15.32,0,-44.85993,0.1165648501,0.17,c,0.028,0,1,1
normal,5,661,35.01,227,1573,7.52,2128,2315,-2.66,880,44.61,215,17.39,-9.6,-47.26799,0.1165648501,0.17,c,0.028,0,1,1
normal,1,623,43.15,450,1381,31.62,301,3388,22.05,77,54.48,215,11.33,-11.33,-32.43057,0.1159324731,0.161,none,0,0,0,1
