,1_ortho,2_phon,3_lemme,4_cgram,5_genre,6_nombre,7_freqlemfilms2,8_freqlemlivres,9_freqfilms2,10_freqlivres,11_infover,12_nbhomogr,13_nbhomoph,14_islem,15_nblettres,16_nbphons,17_cvcv,18_p_cvcv,19_voisorth,20_voisphon,21_puorth,22_puphon,23_syll,24_nbsyll,25_cv-cv,26_orthrenv,27_phonrenv,28_orthosyll,29_cgramortho,30_deflem,31_defobs,32_old20,33_pld20,34_morphoder,35_nbmorph
0,atteints,at5,atteindre,VER,m,p,61.83,126.76,1.71,2.03,par:pas;,2,5,0,8,3,VCCVVCCC,VCV,1,11,0,3,a-t5,2,V-CV,stnietta,5ta,at-teints,"VER,ADJ",100.0,23.0,1.95,1.0,atteindre,1
1,htait,atE,hter,VER,,,5.63,24.05,0.14,2.09,ind:imp:3s;,1,4,0,6,3,CVCVVC,VCV,5,17,0,0,a-tE,2,V-CV,tiath,Eta,h-tait,VER,81.0,16.0,1.7,1.0,hter,1
2,ben,b5,ben,NOM,m,,61.43,24.19,61.43,24.19,,2,4,1,3,2,CVC,CV,10,26,3,2,b5,1,CV,neb,5b,ben,"ADV,NOM",,,1.4,1.0,ben,1
3,baies,bE,baie,NOM,f,p,7.09,19.8,1.24,4.93,,2,8,0,5,2,CVVVC,CV,13,29,0,2,bE,1,CV,seiab,Eb,baies,"ADJ,NOM",96.0,27.0,1.05,1.0,baie,1
4,biens,bj5,bien,NOM,m,p,106.6,70.2,16.99,13.31,,1,4,0,5,3,CVVCC,CYV,7,10,0,3,bj5,1,CYV,sneib,5jb,biens,NOM,95.0,21.0,1.6,1.45,bien,1
5,biais,bjE,biais,NOM,m,,1.6,16.69,1.6,16.69,,2,2,1,5,3,CVVVC,CYV,6,14,5,3,bjE,1,CYV,siaib,Ejb,biais,"ADJ,NOM",91.0,34.0,1.45,1.0,biais,1
6,bouquins,buk5,bouquin,NOM,m,p,13.49,27.7,5.46,13.24,,1,2,0,8,4,CVVCVVCC,CVCV,3,10,0,4,bu-k5,2,CV-CV,sniuquob,5kub,bou-quins,NOM,100.0,21.0,2.0,1.4,bouquin,1
7,bouquets,bukE,bouquet,NOM,m,p,9.35,37.09,0.59,11.08,,1,2,0,8,4,CVVCVVCC,CVCV,2,21,0,4,bu-kE,2,CV-CV,steuquob,Ekub,bou-quets,NOM,100.0,20.0,1.85,1.0,bois-et,2
8,quant,k@,quant,NOM,f,s,7.94,32.3,7.94,32.3,,1,5,1,5,2,CVVCC,CV,9,28,5,2,k@,1,CV,tnauq,@k,quant,NOM,78.0,19.0,1.45,1.0,quant,1
9,que,k¡,que,PRO:rel,,,4100.9,3315.95,3330.88,2975.34,,2,2,1,3,2,CVV,CV,14,18,3,2,k¡,1,CV,euq,¡k,que,"PRO:int,PRO:rel",,,1.2,,que-:rel,2
